sampleID,class
S_00000,cat
S_00001,cat
S_00002,pig
S_00004,hen
S_00005,water_drops
S_00006,pig
S_00007,rain
S_00008,dog
S_00009,water_drops
S_00010,cat
S_00012,pig
S_00014,sheep
S_00015,cat
S_00016,pig
S_00018,cat
S_00020,rain
S_00021,pig
S_00023,cat
S_00025,cat
S_00026,cow
S_00028,pig
S_00029,cow
S_00030,hen
S_00031,rain
S_00033,rain
S_00034,pig
S_00035,chirping_birds
S_00036,water_drops
S_00038,dog
S_00039,rain
S_00040,cow
S_00041,hen
S_00043,water_drops
S_00044,rain
S_00045,rain
S_00046,dog
S_00047,water_drops
S_00048,rain
S_00050,pig
S_00051,cow
S_00052,pig
S_00053,cow
S_00055,sheep
S_00056,sheep
S_00057,pig
S_00058,cow
S_00059,pig
S_00060,sheep
S_00061,water_drops
S_00062,cat
S_00063,cow
S_00064,rain
S_00065,sheep
S_00067,sheep
S_00069,dog
S_00070,hen
S_00071,hen
S_00074,cat
S_00075,cow
S_00076,dog
S_00078,pig
S_00079,cat
S_00080,rain
S_00081,cow
S_00082,hen
S_00083,sheep
S_00086,rain
S_00087,dog
S_00088,hen
S_00090,hen
S_00091,pig
S_00092,dog
S_00093,pig
S_00094,pig
S_00095,rain
S_00096,pig
S_00097,cow
S_00098,pig
S_00099,dog
S_00101,water_drops
S_00102,pig
S_00103,rain
S_00104,rain
S_00105,cat
S_00107,sheep
S_00108,rain
S_00109,dog
S_00110,chirping_birds
S_00111,dog
S_00112,pig
S_00113,hen
S_00114,chirping_birds
S_00115,cow
S_00116,pig
S_00118,hen
S_00119,chirping_birds
S_00120,sheep
S_00121,hen
S_00122,chirping_birds
S_00123,sheep
S_00124,cow
S_00127,chirping_birds
S_00128,chirping_birds
S_00129,cow
S_00130,pig
S_00132,water_drops
S_00133,sheep
S_00135,hen
S_00136,chirping_birds
S_00137,water_drops
S_00138,chirping_birds
S_00139,water_drops
S_00140,rain
S_00141,hen
S_00142,hen
S_00143,cow
S_00144,chirping_birds
S_00145,cow
S_00146,sheep
S_00147,rain
S_00148,sheep
S_00149,rain
S_00150,cow
S_00151,sheep
S_00152,hen
S_00153,dog
S_00154,pig
S_00155,chirping_birds
S_00156,cow
S_00157,water_drops
S_00158,cow
S_00161,hen
S_00162,chirping_birds
S_00163,cat
S_00164,cow
S_00166,dog
S_00168,dog
S_00170,water_drops
S_00172,sheep
S_00173,sheep
S_00174,hen
S_00175,sheep
S_00176,chirping_birds
S_00177,chirping_birds
S_00178,hen
S_00179,rain
S_00181,pig
S_00182,dog
S_00183,rain
S_00184,pig
S_00185,sheep
S_00188,water_drops
S_00190,dog
S_00191,sheep
S_00192,dog
S_00193,rain
S_00194,dog
S_00195,dog
S_00196,pig
S_00197,hen
S_00198,sheep
S_00199,chirping_birds
S_00200,pig
S_00201,chirping_birds
S_00202,cow
S_00204,hen
S_00205,cow
S_00207,dog
S_00208,cat
S_00210,water_drops
S_00212,cat
S_00213,rain
S_00214,water_drops
S_00216,sheep
S_00218,cow
S_00219,hen
S_00220,sheep
S_00221,water_drops
S_00222,water_drops
S_00223,cat
S_00224,sheep
S_00225,chirping_birds
S_00226,dog
S_00227,chirping_birds
S_00228,cat
S_00229,sheep
S_00230,rain
S_00231,cat
S_00232,chirping_birds
S_00234,cat
S_00236,sheep
S_00237,cow
S_00238,cow
S_00239,pig
S_00240,water_drops
S_00241,cat
S_00242,dog
S_00243,pig
S_00244,pig
S_00245,hen
S_00246,rain
S_00248,cat
S_00249,chirping_birds
S_00251,water_drops
S_00252,dog
S_00256,dog
S_00257,chirping_birds
S_00259,cat
S_00260,chirping_birds
S_00261,hen
S_00262,cat
S_00263,hen
S_00264,chirping_birds
S_00265,dog
S_00266,sheep
S_00268,rain
S_00269,hen
S_00270,cat
S_00271,sheep
S_00272,cow
S_00274,cat
S_00275,hen
S_00276,hen
S_00277,chirping_birds
S_00278,water_drops
S_00279,cow
S_00280,cow
S_00281,rain
S_00282,cat
S_00285,cat
S_00286,hen
S_00288,water_drops
S_00289,pig
S_00290,cat
S_00292,water_drops
S_00295,dog
S_00296,sheep
S_00297,cat
S_00298,sheep
S_00299,pig
S_00300,dog
S_00301,dog
S_00302,hen
S_00303,sheep
S_00304,chirping_birds
S_00305,rain
S_00306,chirping_birds
S_00307,pig
S_00308,cat
S_00309,hen
S_00310,cow
S_00311,cat
S_00312,water_drops
S_00313,rain
S_00314,sheep
S_00316,dog
S_00317,cow
S_00318,chirping_birds
S_00320,rain
S_00324,cow
S_00325,cow
S_00326,rain
S_00327,rain
S_00328,water_drops
S_00330,water_drops
S_00331,chirping_birds
S_00332,cow
S_00333,chirping_birds
S_00334,water_drops
S_00335,water_drops
S_00336,water_drops
S_00338,cat
S_00339,chirping_birds
S_00340,hen
S_00342,dog
S_00344,dog
S_00345,chirping_birds
S_00346,sheep
S_00347,hen
S_00348,dog
S_00350,cat
S_00351,water_drops
S_00353,rain
S_00354,water_drops
S_00355,dog
S_00356,water_drops
S_00357,water_drops
S_00359,chirping_birds
